,,,,,,
,,,,,,
SKU,Description,RRP inc VAT,RRP ex VAT,"Suggested 
Promo Inc VAT",New Promo Inc vat,Promo Increase Inc Vat
RIDE ON,,,,,,
Stiga ride on Battery swappable,,,,,,
2T2620483/M25,1538H,"£2,999.00","£2,499.17","£2,799.00","£2,899.00",£100.00
2T2630483/M22,1638H,"£3,249.00","£2,707.50","£2,999.00","£3,099.00",£100.00
2T0830483/M25,1738H,"£3,599.00","£2,999.17","£3,299.00","£3,399.00",£100.00
,,,,,,
2T0980483/M25,2240H,"£4,099.00","£3,415.83","£3,799.00","£3,899.00",£100.00
2T0510483/M25,1538M-SD,"£1,949.00","£1,624.17","£1,799.00","£1,899.00",£100.00
2T0620483/M25,1538H-SD,"£2,399.00","£1,999.17","£2,199.00","£2,299.00",£100.00
2T1210483/M25,1543H-SD,"£2,619.00","£2,182.50","£2,399.00","£2,499.00",£100.00
Atco ride ons,,,,,,
2T2110447/AT2,GT 30H,"£2,699.00","£2,249.17","£2,499.00","£2,599.00",£100.00
2T2630447/AT2,GT 38H Twin,"£3,249.00","£2,707.50","£2,999.00","£3,099.00",£100.00
2T0830447/AT1,GTX 38H Twin,"£3,599.00","£2,999.17","£3,299.00","£3,399.00",£100.00
2T1210447/AT2,GT 43HR,"£2,619.00","£2,182.50","£2,399.00","£2,499.00",£100.00
GYRO,,,,,,
2F7064705/ST1,Gyro 900e,"£10,399.00","£8,665.83","£8,999.00","£9,249.00",£250.00
FRONT MOWERS,,,,,,
2F5820245/ST1,Park 300 LC,"£3,399.00","£2,832.50","£2,999.00","£3,099.00",£100.00
2F5820425/ST1,Park 300 RC,"£3,699.00","£3,082.50","£3,299.00","£3,399.00",£100.00
2F6120545/ST2,Park 500,"£3,799.00","£3,165.83","£3,299.00","£3,399.00",£100.00
2F6120645/ST2,Park 500 W,"£4,299.00","£3,582.50","£3,799.00","£3,899.00",£100.00
