product_id,product_title,variant_id,shopify_sku,inventory_quantity,action
gid://shopify/Product/8321730609319,Spectrum TG40S Self-Propelled Petrol Lawnmower,gid://shopify/ProductVariant/45927577976999,TG40S,0,would_untrack
gid://shopify/Product/8321730379943,Atco Liner 16S Li KIT 48v Cordless Self-Propelled Roller Lawnmower (Inc. Batteries & Charger),gid://shopify/ProductVariant/45927577485479,AT-299439077/AT1,0,would_untrack
gid://shopify/Product/8321729101991,Stiga Combi 748e V KIT 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. Batteries & Charger),gid://shopify/ProductVariant/45927575519399,STIG-2L0487978/ST1,0,would_untrack
gid://shopify/Product/8321728970919,Stiga Tornado 5108 Side-Discharge Garden Tractor with Hydrostatic Drive,gid://shopify/ProductVariant/45927575322791,STIG-2T1215481/ST1,0,would_untrack
gid://shopify/Product/8321727365287,Stiga Combi 336e KIT 48v 3-in-1 Hand-Propelled Cordless Lawnmower (Inc. Battery & Charger),gid://shopify/ProductVariant/45927572930727,STIG-294346068/UKS,0,would_untrack
gid://shopify/Product/8321725071527,Stiga Front Blade for SWS 600 G Self-Propelled Sweeper | 290602030/16,gid://shopify/ProductVariant/45927567360167,STIG-290602030/16,0,would_untrack
gid://shopify/Product/8321724907687,Stiga Collection Box for SWS 600 G Self-Propelled Sweeper | 290602020/16,gid://shopify/ProductVariant/45927567130791,STIG-290602020/16,0,would_untrack
gid://shopify/Product/8321722810535,Stiga SVP 40 G Petrol Scarifier,gid://shopify/ProductVariant/45927562182823,STIG-211400248/ST1,0,would_untrack
gid://shopify/Product/8321722515623,Stiga HT 525 Petrol Hedgetrimmer (60cm Blades),gid://shopify/ProductVariant/45927558480039,STIG-252421008/ST2,0,would_untrack
gid://shopify/Product/8321721532583,"Stiga PR 730 C Top-Handle Petrol Arborist’s Chainsaw with 1/4"" Chain (25cm Guide Bar)",gid://shopify/ProductVariant/45927553859751,STIG-240271012/ST2,0,would_untrack
gid://shopify/Product/8321719435431,Stiga BC 760 B Petrol Brushcutter,gid://shopify/ProductVariant/45927549632679,STIG-283524008/ST3,0,would_untrack
gid://shopify/Product/8321719271591,Stiga BC 750 B Petrol Brushcutter,gid://shopify/ProductVariant/45927549403303,STIG-283424008/ST2,0,would_untrack
gid://shopify/Product/8321719173287,Stiga BC 730 B Petrol Brushcutter,gid://shopify/ProductVariant/45927549304999,STIG-283221008/ST1,0,would_untrack
gid://shopify/Product/8321719074983,Stiga BC 730 Petrol Brushcutter,gid://shopify/ProductVariant/45927549206695,STIG-283220008/ST1,0,would_untrack
gid://shopify/Product/8321718681767,Stiga SRC 685 RG Petrol Front-Tine Tiller,gid://shopify/ProductVariant/45927547535527,STIG-213851142/ST1,0,would_untrack
