shopify_sku,source,shopify_title
STIG-2L0536548/ST2,main_sync,Stiga Combi 753 SE 4-in-1 Self-Propelled Petrol Lawnmower with Electric Start
STIG-2L0536848/ST2,main_sync,Stiga Combi 753 S 4-in-1 Self-Propelled Petrol Lawnmower
STIG-2L0537838/ST2,main_sync,Stiga Combi 753 V 4-in-1 Variable-Speed Petrol Lawnmower (with Honda Engine)
STIG-2L0537978/UKS,main_sync,Stiga Combi 753e V KIT 48v 4-in-1 Variable-Speed Cordless Lawnmower (Inc. 2 x Batteries & Charger)
STIG-2T0070481/ST2,main_sync,Stiga Combi 166 Compact Rear-Collect & Side-Discharge Ride-On Mower with Hydrostatic Drive
STIG-2T0210481/ST2,main_sync,Stiga Combi 372 Compact Rear-Collect Ride-On Mower with Hydrostatic Drive
STIG-2T0610481/ST1,main_sync,Stiga Tornado 398 Side-Discharge Lawn Tractor with Hydrostatic Drive
STIG-2T1215481/ST1,main_sync,Stiga Tornado 5108 Side-Discharge Garden Tractor with Hydrostatic Drive
STIG-2T1220481/ST2,main_sync,Stiga Tornado 5108 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive
STIG-2T1835481/ST1,main_sync,Stiga Tornado 7108 W Side-Discharge V-Twin Garden Tractor with Hydrostatic Drive
STIG-2T2100481/ST1,main_sync,Stiga Estate 384 Rear-Collect Lawn Tractor with Hydrostatic Drive
STIG-2T2200481/ST1,main_sync,Stiga Estate 384e Battery-Powered Rear-Collect Lawn Tractor with Stepless Electronic Drive
STIG-2T2205481/ST2,main_sync,Stiga Estate 584e Battery-Powered Rear-Collect Lawn Tractor with Stepless Electronic Drive
STIG-2T2620481/ST2,main_sync,Stiga Estate 598 Rear-Collect Lawn Tractor with Hydrostatic Drive
STIG-2T2800481/ST2,main_sync,Stiga Estate 798e Battery-Powered Rear-Collect Lawn Tractor with Stepless Electronic Drive
STIG-BRUSH-COLLECTOR,main_sync,Stiga Silex Brush & Collector Attachment | 290950040/10
STIG-COLLECTOR-SWS-800G,main_sync,Stiga Collection Box for SWS 800 G Self-Propelled Sweeper | 290802020/16
STIG-EXT-SHAFT-226,main_sync,Stiga Extension Pole for Split-Shaft Brushcutters | 232511610/16
STIG-HPS235R,main_sync,Stiga HPS 235 R Electric Pressure-Washer
STIG-HPS345R,main_sync,Stiga HPS 345 R Electric Pressure-Washer
STIG-HPS550R,main_sync,Stiga HPS 550 R Electric Pressure-Washer
