suspected_match_miss,stiga_supplier_code,stiga_supplier_desc,brand,shopify_sku,shopify_title,vendor,current_price,current_compare_at_price,product_handle
no,,,Mountfield,MF-HW531-PD,Mountfield HW531-PD 4-in-1 Self-Propelled Lawnmower,Mountfield,469.00,539.00,mountfield-hw531-pd-196cc-53cm-4-in-1-self-propelled-petrol-lawnmower
no,,,Mountfield,MF-278200003/M21,Mountfield MBC 50 Li 48v Cordless Brushcutter (Tool Only),Mountfield,299.00,,mountfield-mbc-50-li-48v-cordless-battery-powered-brushcutter-tool-only
no,,,Mountfield,MF-278500003/M21,Mountfield MBL 50 Li Cordless Leaf-Blower (Tool Only),Mountfield,179.95,,mountfield-mbl-50-li-cordless-leaf-blower-tool-only
no,,,Mountfield,MF-278410003/M21,Mountfield MCS 50 Li Cordless Chainsaw (Tool Only),Mountfield,0.00,,mountfield-mbl-50-li-cordless-chainsaw-tool-only
no,,,Mountfield,MF-MHT2322,Mountfield MHT 2322 Petrol Hedgetrimmer,Mountfield,169.00,189.00,mountfield-mht-2322-25cc-petrol-hedgetrimmer-with-60cm-blades
no,,,Mountfield,MF-278300003/M21,Mountfield MHT 50 Li 48v Cordless Hedgetrimmer (Tool Only),Mountfield,139.00,157.00,mountfield-mht-50-li-48v-cordless-hedgetrimmer-tool-only
no,,,Mountfield,MF-278710033/M21,Mountfield MPH 50 Li 48v Cordless Long-Reach Hedgetrimmer (Tool Only),Mountfield,229.00,,mountfield-mph-50-li-48v-cordless-battery-powered-long-reach-hedgetrimmer-tool-only
no,,,Mountfield,MF-278710043/M21,Mountfield MPP 50 Li 48v Cordless Pole-Pruner (Tool Only),Mountfield,149.00,,mountfield-mpp-50-li-48v-cordless-battery-powered-pole-pruner-tool-only
no,,,Mountfield,MF-2T1210403/CAS,Mountfield MTF 108H SD Side-Discharge Lawn Tractor with Hydrostatic Drive,Mountfield,2399.00,2789.00,mountfield-mtf-108h-sd-452cc-108cm-side-discharge-lawn-tractor-with-hydrostatic-drive
no,,,Mountfield,827M-RET,Mountfield MTF 66 MQ Compact Rear-Collect Ride-On Mower with Manual Drive (Ex-Display),Mountfield,1349.95,1839.00,mountfield-mtf-66-mq-compact-rear-collect-ride-on-mower-with-manual-drive
no,,,Mountfield,MF-2T2105403/CAS,Mountfield MTF 84 H Rear-Collect Lawn Tractor with Hydrostatic Drive,Mountfield,2399.00,,mountfield-mtf-84-h-414cc-84cm-single-cylinder-rear-collect-lawn-tractor-with-hydrostatic-drive
no,,,Mountfield,2T0785483/M22,Mountfield MTF 92 H Rear-Collect V-Twin Garden Tractor with Hydrostatic Drive,Mountfield,2899.00,3829.00,mountfield-mtf-92-h-586cc-92cm-rear-collect-twin-cylinder-garden-tractor-with-hydrostatic-drive
no,,,Mountfield,MF-2T2620403/CAS,Mountfield MTF 98H Rear-Collect Lawn Tractor with Hydrostatic Drive,Mountfield,2799.00,3199.00,mountfield-mtf-98h-452cc-98cm-single-cylinder-rear-collect-lawn-tractor-with-hydrostatic-drive
no,,,Mountfield,C-2T0610483/M22,Mountfield MTF 98H-SD Side-Discharge Lawn Tractor with Hydrostatic Drive,Mountfield,2199.00,2399.00,mountfield-mtf-98h-sd-side-discharge-lawn-tractor-with-hydrostatic-drive
