"id","org_id","created_date","created_by_user_id","last_modified_date","last_modified_by_user_id","deleted_date","deleted_by_user_id","product_code","product_sku","product_name","product_description","cost_price","cost_price_average","cost_price_percentage","cost_chart_of_accounts","cost_currency","premium_declaration_cost_price","underwriter_cost_price","underwriter_cost_price_percentage","agent_cost_price","agent_cost_price_percentage","sell_currency","sell_price","sell_chart_of_accounts","status","product_type","product_category","pending_product_qty_in_stock","product_qty_in_stock","manage_stock","stock_value","resell_value","minimum_retail_price","maximum_retail_price","template_id","company_id","start_date","end_date","external_reference","sales_unit","recommended_retail_price","weight","service_levy_percentage","admin_fee","service_provision","plan_operating_charge","clip_fee_percentage","location","margin_calculation","supplier_id","part_number","bay","ean_barcode","product_image"
67490,6,,,,777,,,"SNAPPER","SNAPPER","","",0,0,,"4000","GBP",,,,,,"GBP",0,"4000","Active","4000 - Delivery charges - outward freight","1",0,0,1,0,0,,,,,,,"C-SNAPPER",,,,,,,,,"",,,,,,
67491,6,,,"2025-11-24T12:13:41.000Z",24305274,,,"SO756","SO756","SEALEY SCREWDRIVER SET 7PC ELECTRICIAN'S VDE","SEALEY SCREWDRIVER SET 7PC ELECTRICIAN'S VDE",8.48,8.48,,"4025","GBP",,,,,,"GBP",21.63,"4025","Active","4025 - MISC","24",0,2,1,16.96,43.26,,,,,,,"C-SO756",,,,,,,,,"",,,,,,
67492,6,,,,777,,,"SP22111","SP22111","SPECTRUM SP22111 TOWED TRAILER","SPECTRUM SP22111 TOWED TRAILER",68.85,77.89,,"4025","GBP",,,,,,"GBP",249.95,"4025","Active","4025 - MISC","26",0,40,1,2754,9998,,,,,,,"C-SP22111",,,28.6,,,,,,"",,,,,,
67493,6,,,,777,,,"SP22111-4","SP22111-4","SPECTRUM SP22111-4 181KG POLY TIPPING CART","SPECTRUM SP22111-4 181KG POLY TIPPING CART",55.38,70.71,,"4025","GBP",,,,,,"GBP",174.13,"4025","Active","4025 - MISC","26",0,49,1,2713.62,8532.37,,,,,,,"C-SP22111-4",,,25.4,,,,,,"",,,,,,
67494,6,,,"2026-05-21T07:28:55.000Z",24305285,,,"SP22124","SP22124","SPECTRUM SP22124 227kg CAPACITY STEEL TRAILER","SPECTRUM SP22124 227kg CAPACITY STEEL TRAILER",69.63,76.53,,"4025","GBP",,,,,,"GBP",269.95,"4025","Active","4025 - MISC","26",0,44,1,3063.72,11877.8,,,,,,,"C-SP22124",,,36.7,,,,,,"",,,,,,
67495,6,,,,777,,,"SP22125","SP22125","SPECTRUM SP22125 408KG HIGH-SIDED STEEL TIPPING TRAILER","SPECTRUM SP22125 408KG HIGH-SIDED STEEL TIPPING TRAILER",121,130.29,,"4025","GBP",,,,,,"GBP",308.29,"4025","Active","4025 - MISC","26",0,5,1,605,1541.45,,,,,,,"C-SP22125",,,58,,,,,,"",,,,,,
67496,6,,,,777,,,"SP22144","SP22144","SPECTRUM SP22144 272KG POLY TIPPING TRAILER","SPECTRUM SP22144 272KG POLY TIPPING TRAILER",68.49,81.9,,"4025","GBP",,,,,,"GBP",172.63,"4025","Active","4025 - MISC","26",0,23,1,1575.27,3970.49,,,,,,,"C-SP22144",,,24,,,,,,"",,,,,,
67497,6,,,,777,,,"SP31105","SP31105","SPECTRUM SP31105 97CM TOWED LAWN & LEAF SWEEPER","SPECTRUM SP31105 97CM TOWED LAWN & LEAF SWEEPER",87.3,96.03,,"4025","GBP",,,,,,"GBP",166.63,"4025","Active","4025 - MISC","28",0,36,1,3142.8,5998.68,,,,,,,"C-SP31105",,,29,,,,,,"",,,,,,
67498,6,,,,777,,,"SP31109","SP31109","SPECTRUM SP31109 122CM TOWED LAWN & LEAF SWEEPER","SPECTRUM SP31109 122CM TOWED LAWN & LEAF SWEEPER",99.55,114.74,,"4025","GBP",,,,,,"GBP",369.95,"4025","Active","4025 - MISC","26",0,29,1,2886.95,10728.55,,,,,,,"C-SP31109",,,37,,,,,,"",,,,,,
67499,6,,,"2025-11-17T12:17:18.000Z",24305274,,,"SP31128","SP31128","SPECTRUM SP31128 137CM TOWED LAWN & LEAF SWEEPER","SPECTRUM SP31128 137CM TOWED LAWN & LEAF SWEEPER 54""",115.59,129.27,,"4025","GBP",,,,,,"GBP",439.95,"4025","Active","4025 - MISC","26",0,26,1,3005.34,11438.7,,,,,,,"C-SP31128",,,44.9,,,,,,"",,,,,,
